Original Attribute Name,Original Attribute Type,Original Attribute Definition,Parent Elements,NIEM Eqivalent/Refined Attribute Name,NIEM Eqivalent/Refined Attribute Type,NIEM Eqivalent/Refined Attribute Definition,Status,Comments
domexReport,object,Document stating results achieved or providing evidence of activities performed during Document and Media Exploitation,caseNumber,DOMEXReport,ReportType,A document stating results achieved or providing evidence of activities performed during Document and Media Exploitation (DOMEX).,Initial refinement completed. Pending Tiger Team review.,
reportInformation,object,Information about a report,domexReport,,,,Needs to be refined by Tiger Team.,
classification,string,"The determination that official information requires, in the interests of national security, a specific degree of protection against unauthorized disclosure, coupled with a designation signifying that such a determination has been made.","reportInformation, media, findings, devices, components, wtiComments, collection, collectionResponse",mo:SecurityClassificationText,nc : TextType,An information security classification level.,Mapped to existing NIEMOpen attribute.,
reportStartDate,string,A date on which something begins.,reportInformation,nc:StartDate,nc : DateType,A date on which something begins.,Mapped to existing NIEMOpen attribute.,
approvedDate,string,A date of the approval.,reportInformation,ReportApprovedDate,nc : DateType,A date on which a report was approved.,Initial refinement completed. Pending Tiger Team review.,
incidentType,string,A single or delimited list of incident types to restrict the results to. Items may be provided as either an identifier (GUID) or string (Label),reportInformation,j:IncidentGeneralCategoryText ,nc : TextType,A general kind of an incident that occurred.,Mapped to existing NIEMOpen attribute.,
reportExaminer,string,A single or delimited list of Discipline Report Examiners to restrict the results,reportInformation,,,,Needs to be refined by Tiger Team.,
adminReviewer,string,Name and information related to the reviewer evaluating the report and supporting documentation for consistency with laboratory policies and editorial correctness,reportInformation,AdminReviewerDocumentAssociation,nc:PersonDocumentAssociationType,An association between a report and its reviewer.,Initial refinement completed. Pending Tiger Team review.,
lastEditBy,object,Information related to the last edit of the report,reportInformation,,,,Needs to be refined by Tiger Team.,
modifiedBy,string,"A user, who modified a data file.",lastEditBy,ReportModifiedBy,niem-xs : string,"A user, who modified a report.",Initial refinement completed. Pending Tiger Team review.,
lastEditTime,string,A date information was last modified.,lastEditBy,nc:LastUpdatedDate,nc : DateType,A date information was last modified.,Mapped to existing NIEMOpen attribute.,
media,array,Objects on which data can be stored,"exhibits, reports, devices, primaryDeviceUserInformation",,,,Needs to be refined by Tiger Team.,
image,object,"Imitation or representation of a person or thing, drawn, painted, photographed, and so forth.","media, collection",nc:Image,nc : ImageType,A picture or visual representation of something.,Mapped to existing NIEMOpen attribute.,
fileFormat,string,"In computer forensics, a standard structure by which data is organized in a file for a specific purpose","images, audio, databases, text, unrecognizedFiles",nc:DocumentFormatText,nc : TextType,"A file format, content type (e.g., a MIME type), or physical format of a document.",Mapped to existing NIEMOpen attribute.,
fileAttributes,string,Properties associated with the file that is kept with the file directory listing.,"audio, databases, text, unrecognizedFiles",FileAttributeText,nc : TextType,A property associated with a file that is kept with the file directory listing.,Initial refinement completed. Pending Tiger Team review.,
uploadFileName,string,"In computer forensics, an identifier used to uniquely identify a file object that has been uploaded within a directory object in a filesystem.","image, document, collection",UploadFileName,nc : TextType,A name of an uploaded file.,Initial refinement completed. Pending Tiger Team review.,
base64,string,A text that is a binary base-64 string that represents an Image.,image,nc:Base64BinaryObject,niem-xs:base64Binary,A base64 binary encoding of data.,Mapped to existing NIEMOpen attribute.,
document,object,Information and its supporting medium.,media,nc:Document,nc : DocumentType,A paper or electronic document.,Mapped to existing NIEMOpen attribute.,
loc,object,"An object containing `lat` and `lon` coordinates, which will return documents with an incident in a specified radius","media, chats",nc:Location ,nc : LocationType,A geospatial location.,Mapped to existing NIEMOpen attribute.,
fileSizeBytes,integer,"Size of the media file, represented in Bytes","image, document, collection, taggedFiles, applications, archives, audio, configurations, databases, downloads, images, text, videos, unrecognizedFiles",FileSizeBytesValue,niem-xs:nonNegativeInteger,"Size of a file, represented in bytes.",Initial refinement completed. Pending Tiger Team review.,
exhibits,array,Items or samples recovered as part of an investigation,"electronicsReport, deviceInfo, componentInfo",j:Exhibit,j : ExhibitType,An item introduced as evidence in a hearing or a trial.,Mapped to existing NIEMOpen attribute.,
exhibitNumber,integer,An identification number of an exhibit,exhibits,j:ExhibitIdentification,nc : IdentificationType,An identification number of an exhibit,Mapped to existing NIEMOpen attribute.,
exhibitQuantity,integer,A number of individual items that represent a piece of evidence. ,exhibits,j:EvidenceQuantityText,nc : TextType,A number of individual items that represent a piece of evidence. ,Mapped to existing NIEMOpen attribute.,
description,string,A description of the information,"exhibits, deviceInfo, componentInfo, dataSourceUsage",nc:DescriptionText,nc : TextType,A description of the information,Mapped to existing NIEMOpen attribute.,
documentNumber,string,identifier for a document associated with an exhibit,exhibits,DocumentNumber,nc : IdentificationType,An identifier for a document associated with an exhibit.,Initial refinement completed. Pending Tiger Team review.,
caseOperator,string,Entity that is operating a case,exhibits,CaseOperatorEntity,nc:TextType,An entity that is operating a case.,Initial refinement completed. Pending Tiger Team review.,
extractionReason,string,Reason that data was exported from a source,exhibits,DataExtractionReasonText,nc : TextType,A reason that data was exported from a source.,Initial refinement completed. Pending Tiger Team review.,
detaineeName,string,"Name of a person captured, detained, or otherwise under the control of Department of Defense personnel",exhibits,DODDetaineeName,nc:PersonNameTextType,"Full name of a person captured, detained, or otherwise under the control of Department of Defense personnel.",Initial refinement completed. Pending Tiger Team review.,
detaineeNumber,string,An identifier assigned to the detainee by the detention facility.,exhibits,scr:InmateNumberID,niem-xs : string,An identifier assigned to the detainee by the detention facility.,Mapped to existing NIEMOpen attribute.,
tcn,string,transaction control number,exhibits,,,,Needs to be refined by Tiger Team.,
examinerEmail,string,Email address of the examiner,exhibits,nc:ContactEmailID,niem-xs : string,An electronic mailing address by which a person or organization may be contacted.,Mapped to existing NIEMOpen attribute.,
examinerPhoneNumber,string,Phone number of the examiner,exhibits,nc:ContactTelephoneNumber,nc : TelephoneNumberType,A telephone number for a telecommunication device by which a person or organization may be contacted.,Mapped to existing NIEMOpen attribute.,
itemNumber,integer,An identification assigned to an item.,"exhibits, applications, document, devices, archives, audio, callLog, chats, configurations, contacts, databases, deviceConnectivity, deviceEvents, deviceUsers, downloads, imageHashes, images, installedApplications, instantMessages, locations, networkUsages, passwords, searchedItems, text, userAccounts, videos, webBookmarks, webHistory, wirelessNetworks, timeline, contactIdentificationData, simData",nc:ItemOtherIdentification,nc : IdentificationType,An identification assigned to an item.,Mapped to existing NIEMOpen attribute.,
notes,string,"Notes are original observations, derived data, calculations and test reports recorded at the time they are made and are identifiable to the specific task. They must contain sufficient information to establish an audit trail and to support conclusions such that in the absence of the examiner, another competent examiner or supervisor could evaluate what was done and interpret the data.",exhibits,,,,Needs to be refined by Tiger Team.,
disposition,string,A description of a disposition.,exhibits,nc:DispositionDescriptionText,nc : TextType,A description of a disposition.,Mapped to existing NIEMOpen attribute.,
HasChildren,boolean,Indicator of whether an exhibit has child elements associated with it,"exhibits, components",SupportingExhibitIndicator,niem-xs : Boolean,"True if an exhibit has sub-exhibits associated with it, false otherwise.",Initial refinement completed. Pending Tiger Team review.,
devices,array,A device.,triage,mo:Device,nc : DeviceType,A device.,Mapped to existing NIEMOpen attribute.,
deviceType,string,A kind of device type.,"devices, deviceConnectivity, deviceInfo",biom:DeviceCategoryText,nc : TextType,A kind of device type.,Mapped to existing NIEMOpen attribute.,
deviceInfo,object,Information about the device,device,DeviceInformation,DeviceInformationType,Information about a device.,Initial refinement completed. Pending Tiger Team review.,
quantity,integer,A count of the individual units which make up an item.,"deviceInfo, ActivitySensorDataSample",nc:ItemQuantity,nc : QuantityType,A count of the individual units which make up an item.,Mapped to existing NIEMOpen attribute.,
operationalCharacteristics,string,Description of how the device is operated,deviceInfo,,,,Needs to be refined by Tiger Team.,
comments,object,"A comment, note, or remark.",deviceInfo,nc:Comment,nc : CommentType,"A comment, note, or remark.",Mapped to existing NIEMOpen attribute.,
content,string,"A comment, note, or remark providing additional information.","comments, wtiComments",nc:CommentText,nc : TextType,"A comment, note, or remark providing additional information.",Mapped to existing NIEMOpen attribute.,
wtiProfiles,string,"A single or delimited list of WTI profile identifiers (GUID) to restrict the results. When provided,  results returned have at least one device with the assigned profile(s)",deviceInfo,WTIDeviceProfileIdentifier,nc : IdentificationType,A WTI profile identifier (GUID) assigned to a device.,Initial refinement completed. Pending Tiger Team review.,
wtiComments,object,Comments associated with a device ,deviceInfo,,,,Needs to be refined by Tiger Team.,
metadata,object,"Data, frequently embedded within a file, that describes a file or directory, which can include the locations where the content is stored, dates and times, application specific information, and permissions ","applications, document, deviceInfo, componentInfo, archives, audio, configurations, databases, images, text, videos, names, officialGovernmentDocumentation",nc:Metadata,nc : MetadataType,Information that further qualifies primary data; data about data.,Mapped to existing NIEMOpen attribute.,
components,array,"In logistics, a part or combination of parts having a specific
function, which can be installed or replaced only as an entity.",device,DeviceComponentAssocation,AssociationType,"A part or combination of parts having a specific function, which can be installed or replaced only as an entity.",Initial refinement completed. Pending Tiger Team review.,
componentInfo,object,Information about a specific component of a device,"components, unassignedDeviceComponents",DeviceComponentInformation,DeviceComponentInformationType,Information about a specific component of a device.,Initial refinement completed. Pending Tiger Team review.,
componentType,string,An item contained within an explosive device designed to cause harm or damage when propelled by an explosion.,componentInfo,j:ExplosiveComponentText,nc : TextType,An item contained within an explosive device designed to cause harm or damage when propelled by an explosion.,Mapped to existing NIEMOpen attribute.,
findings,object,Results of analysis of items or of the scene,,AnalysisFindings,FindingsType,Results of the analysis of items or of a scene.,Initial refinement completed. Pending Tiger Team review.,
findingsText,string,Description of findings,findings,AnalysisFindingsText,nc : TextType,A description of findings from the analysis of items or of a scene.,Initial refinement completed. Pending Tiger Team review.,
collection,object,"In intelligence usage, the acquisition of information and the provision of this information to processing elements",,IntelligenceCollectionInformation,IntelligenceCollectionInformationType,Information acquired for intelligence use.,Initial refinement completed. Pending Tiger Team review.,
